street,number,notes,contact,phone
אחדות העבודה,22,,,
אנצו סירני,25,,"ליד כיכר רמב״ם, דלת הבניין פתוחה",ברק
אנצו סירני,16,,פינת רמז,יעקב
אריאל,1,,מול הבריכה,עדנה
גורדון,27,,הדלת פתוחה מקלט מימין,
גורדון,16,,מקלט פתוח.,
גלבוע,9א,ץףף ך ף.0ך,12.0,
גנסין,6,,,
גנסין,27,,הדלת פתוחה ואם לא לדחוף חזק ותיפתח,
גנסין,2,,מקלט פתוח,
גנסין,,,האינטרקום פתוח,
הדגנים,"20,15",,דלת הבניין פתוחה,
,7,,דלת הבניין פתוחה,
ההגנה,17,,דלת פתוחה,
ההגנה,20,,הדלת פתוחה,נמרוד דוויק
"הל""ה",48,,דלת פתוחה,
"הל""ה",44,,מקלט פתוח,
הל״ה,60,,"כניסה ג- הבניין הפנימי, אין דלת כניסה",
המבוא 5,5,,,
הנגבה,22,,מקלט,
הנגבה,10,,,
הנגבה,4,)25,"הדלת נפתחת בדחיפה, יש מודעה בכניסה",
הרצוג,4,,הדלת נפתחת בדחיפה,
הרצוג,7,,בכניסה ג האינטרקום פתוח,
הרצוג,13,=COMPLEX()5,הדלת נפתחת בדחיפה,
הרצוג,36,,הלובי והמקלט פתוחים,
ז'בוטינסקי,38,,בחצר מצד שמאל,
ז'בוטינסקי,12,,קוד 2369 ואז *,
ז'בוטינסקי,39,,דלת הבניין פתוחה,
חביבה רייק,8,,,נעמה
חנה סנש,30,,,
יד מרדכי,5,,דלת פתוחה,
יד מרדכי,3,,חניון,
כצנלסון,24,,,
כצנלסון,65,,,
כצנלסון,78,,,
כצנלסון,28,,,
כצנלסון,71/ג,,הדלת פתוחה בימים אלה,
"מבוא הרימון, רמת גן",6,,,
מצולות ים,13,,,
סירני,14,,,
עברונה,1,,,
עמישב,1,,,
עמישב,,,,
קרן קימת לישראל,18,,,
רחל,25,,,
רחל,1א,,,
ריינס,,,,
רמז,16,,,היי
רמז,14,,,
רמז,35,,"מול תיאטרון גבעתיים, הדלת כניסה פתוחה",
רמז,37,,,
רמז,16,,,
רמז,15,אם הדלת סגורה קוד:*3759,0523256095-מיכאל,
המגדל,9,,,
רמז,22,,,
סירקין,26,,05791 קוד,
אנצו סירני,18,1942 כוכבית,דלת פתוחה,
שינקין,34,,פתוח,
שינקין,9,,פתוח,
הדגנים,12,,פתוח,
המעורר,14,,פתוח,
יד מרדכי,9,,לצלצל באינטרקום,
מורדי הגטאות,5,,הבניין פתוח והמקלט פתוח,
ויצמן,68,,,
כורזין,1,,בית מולדבסקי. בניין משרדים. יש מקלט,
כצנלסון,96,,בניין מגורים להיכנס ולרדת במדרגות,
דרך השלום,31,,בניין מגורים. קוד מפתח 3131,
בן צבי,11,,קוד 03355,
ניצנה,27,,בכניסה לבניין יש מקלט,
כצנלסון,71,,"יש 4 כניסות לבנייני מגורים, מקלט בכל אחד מהם",
המפנה,8,,מקלט נוח בבניין מגורים,
ארלוזרוב,7,,,
גונן,11,,מקלט פתוח,
רמב״ם,6,,מקלט פתוח,
"רמב""ם",4,,בדרכ דלת אינטרקום פתוחה ומקלט פתוח,
ההגנה,33,,בסוף השביל כניסה מאחורי הבניין והדשא,
הנגבה,14 + 16,,,
הדגנים,15,,,
סנש,9,,קצת מג׳ייאף,
הדגנים,17,,דלת פתוחה - אבל אין מקלט,
"רמב""ם",55,,,
הדגנים,11,,,
טייבר 50 (חניון תת קרקעי),50,,"פינת רחוב המגדל , ממול לבית הכנסת",
ברדיצ'בסקי,37,דלת פתוחה,,
המעיין,4,,,
המעיין,10,לפתוח חזק את דלת הכניסה,,
כלנית,2,יש מקלט אין אינטרקום,,
ריינס,36,"במינוס 1, לדחוף את הדלת גם",,
המעין,28,דלת האינטרקום פתוחה,,
ז'בוטינסקי,39,דלת האינטרקום פתוחה,,
עמל,16,האינטרקום פתוח בדחיפה,,
ילדי  טהרן,8,דלת האינטרקום פתוחה,,
צהל,14,"דלת אינטרקום פתוחה, יש חניון תת קרקעי",,
ריינס,70,"אין אינטרקום, פשוט נכנסים. דלת המקלט סגורה כדי שלא ייכנסו בעלי חיים",,
ז'בוטינסקי,14,דלת פתוחה,,
רחוב,מספר,הערות,ועד בית,טלפון
בורוכוב,10,מקלט בתוך הבניין,,
השניים,6,מקלט פרטי של הבניין,,
סמטת אליהו,10,מקלט פרטי של הבניין,,
גורדון,10,מקלט פרטי של הבניין. לרדת למטה.,,
המעורר,21,מקלט פרטי של הבניין. לרדת למטה.,,
גורדון,23,,,
אפנר,6,מקלט תת קרקעי מכל הכניסות,,
גוש עציון,14+16,"קומת קרקע, מקלט תת קרקעי",,
המרי,13,הדלת פתוחה מקלט משמאל,,
כצנלסון,78,קוד 7878 אם סגור,,
כצנלסון,95,הדלת נפתחת בדחיפה,,
כצנלסון,92 ג,הדלת פתוחה,,
כצנלסון,71/ג,הדלת כרגע פתוחה,,
שינקין,9,פתוח,,
שינקין,34,פתוח,,
המרי,18,הדלת נפתחת בדחיפה,,
המרי,23א,פתוח,,
המעגל,13,חניון הבניין מוגן ופתוח להולכי רגל,,
כצנלסון,117,מקלט בביניין פתוח לציבור,עדי,0587285555
הל״ה,60 - כניסה ג,הבניין הפנימי אין דלת כניסה,,
"הל""ה",42,"הבניין הראשון, הדלת פתוחה",,
הורדים,10,בכניסה לבניין יש מדרגות למטה למקלט,,
אידמית,,,,
ההסתדרות,5,כניסה ב,,
ההסתדרות,68,"אין דלת ללובי, לרדת במדרגות",,
ההסתדרות,70,יש דלת בלובי,,
ההסתדרות,72,"אין דלת ללובי, לרדת במדרגות",,
ההסתדרות,56,"אין דלת לובי, לרדת במדרגות",,
ההסתדרות,7,פתוח. מקלט בחדר מדרגות מצד שמאל,כניסה ראשונה מהרחוב,
מנורה,13,פתוח. מקלט בקומת הכניסה ליד המעלית,,
טבנקין,4,לרדת במדרגות,,
כ״ג,9,פתוח. כניסה שנייה,,
הכנסת,3,דלת פתוחה בלובי לרדת במדרגות,,
"רמב""ם",18,"דלת פתוחה, לרדת גרם מדרגות אחד למקלט",,
